AADR,Advisorshares Dorsey Wright ETF
AVGO,Broadcom Ltd
CARZ,Nasdaq Global Auto Index Fund
FNK,Midcap Value Alphadex Fund FT
FNY,Midcap Growth Alphadex Fund FT
FYC,Smallcap Growth Alphadex Fund FT
FYT,Smallcap Value Alphadex Fund FT
GMAB,Genmab A/S ADR
GRID,Nasdaq Smart Grid Infrastructure ETF
HRZN,Horizon Technology F
INDY,India 50 Ishares ETF
KBWP,KBW Property & Casualty Insurance Invesco ETF
NMFC,New Mountain Finance Corp
NXTG,Nasdaq Smartphone Index Fund
PSCC,S&P Smallcap Consumer Staples Invesco ETF
PSCD,S&P Smallcap Consumer Discretionary Invesco ETF
PSCH,S&P Smallcap Health Care Invesco ETF
PSCI,S&P Smallcap Industrials Invesco ETF
PSCM,S&P Smallcap Materials Invesco ETF
PSCT,S&P Smallcap Information Technology Invesco ETF
SPSC,Sps Commerce Inc
SSNC,SS&C Technologies
TQQQ,Ultrapro QQQ 3X ETF
VCSH,Short-Term Corp Bond Vanguard
VONE,Russell 1000 Vanguard
VONG,Russell 1000 Growth Vanguard
VONV,Russell 1000 Value Vanguard
VRSK,Verisk Analytics Inc
VTHR,Russell 3000 Vanguard
VTWG,Russell 2000 Growth Vanguard
VTWO,Russell 2000 Vanguard
VTWV,Russell 2000 Value Vanguard
VXUS,Total Intl Stock ETF Vanguard
HCA,"HCA Healthcare, Inc."
LYB,LyondellBasell Industries N.V.
DG,Dollar General Corporation
CBOE,"Cboe Global Markets, Inc."
KKR,KKR & Co. Inc.
STLA,Stellantis N.V.
FERG,Ferguson plc
BAH,Booz Allen Hamilton Holding Corporation
PRI,"Primerica, Inc."
FN,Fabrinet
STAG,"STAG Industrial, Inc."
FAF,First American Financial Corporation
TRNO,Terreno Realty Corporation
SEM,Select Medical Holdings Corporation
WD,"Walker & Dunlop, Inc."
DOOR,Masonite International Corporation
